成都移动电信,#genre#
河南卫视,http://125.71.114.18:4022/rtp/239.93.42.45:5140
广西卫视,http://125.71.114.18:4022/rtp/239.93.42.46:5140
云南卫视,http://125.71.114.18:4022/rtp/239.93.1.174:5140
吉林卫视,http://125.71.114.18:4022/rtp/239.93.0.248:5140
甘肃卫视,http://125.71.114.18:4022/rtp/239.93.0.81:5140
陕西卫视HD,http://125.71.114.18:4022/rtp/239.93.0.143:5140

陕西卫视,http://125.71.114.18:4022/rtp/239.93.0.176:5140
安多卫视,http://125.71.114.18:4022/rtp/239.93.0.234:5140
山西卫视,http://125.71.114.18:4022/rtp/239.93.0.6:5140
内蒙古卫视,http://125.71.114.18:4022/rtp/239.93.0.8:5140
青海卫视,http://125.71.114.18:4022/rtp/239.93.0.192:5140
宁夏卫视,http://125.71.114.18:4022/rtp/239.93.0.247:5140
西藏卫视,http://125.71.114.18:4022/rtp/239.93.0.175:5140
新疆卫视,http://125.71.114.18:4022/rtp/239.93.0.194:5140
海南卫视,http://125.71.114.18:4022/rtp/239.93.0.80:5140
陕西农林,http://125.71.114.18:4022/rtp/239.93.0.100:5140
兵团卫视,http://125.71.114.18:4022/rtp/239.93.42.43:5140
厦门卫视,http://125.71.114.18:4022/rtp/239.93.42.57:5140
三沙卫视,http://125.71.114.18:4022/rtp/239.93.42.58:5140
山东教育卫视,http://125.71.114.18:4022/rtp/239.93.1.196:5140
延边卫视,http://125.71.114.18:4022/rtp/239.93.0.249:5140


//电信
CCTV1,http://125.71.114.18:4022/rtp/239.93.0.184:5140
CCTV2,http://125.71.114.18:4022/rtp/239.93.1.23:6000
CCTV3,http://125.71.114.18:4022/rtp/239.93.1.11:2223
CCTV4,http://125.71.114.18:4022/rtp/239.93.1.105:5140
CCTV5,http://125.71.114.18:4022/rtp/239.93.42.37:5140
CCTV5,http://125.71.114.18:4022/rtp/239.93.1.12:2224
CCTV6,http://125.71.114.18:4022/rtp/239.93.1.13:2226
CCTV6,http://125.71.114.18:4022/rtp/239.93.42.38:5140
CCTV7,http://125.71.114.18:4022/rtp/239.93.1.67:5140
CCTV8,http://125.71.114.18:4022/rtp/239.93.42.39:5140
CCTV9,http://125.71.114.18:4022/rtp/239.93.1.24:5140
CCTV10,http://125.71.114.18:4022/rtp/239.93.1.28:5140
CCTV11,http://125.71.114.18:4022/rtp/239.93.0.102:5140
CCTV12,http://125.71.114.18:4022/rtp/239.93.1.30:8124
CCTV13,http://125.71.114.18:4022/rtp/239.93.0.66:5140
CCTV14,http://125.71.114.18:4022/rtp/239.93.1.29:6000
CCTV14,http://125.71.114.18:4022/rtp/239.93.42.40:5140
CCTV15,http://125.71.114.18:4022/rtp/239.93.0.103:5140
CCTV16-4K,http://125.71.114.18:4022/rtp/239.93.42.54:5140
CCTV17,http://125.71.114.18:4022/rtp/239.93.0.92:5140
CCTV5+,http://125.71.114.18:4022/rtp/239.93.1.36:8004
CCTV4K,http://125.71.114.18:4022/rtp/239.93.42.41:5140
CCTV4K,http://125.71.114.18:4022/rtp/239.93.42.42:5140
CCTV央视台球,http://125.71.114.18:4022/rtp/239.93.0.218:5140
CCTV风云足球,http://125.71.114.18:4022/rtp/239.93.0.235:5140
CCTV风云音乐,http://125.71.114.18:4022/rtp/239.93.0.224:5140
CCTV高尔夫网球,http://125.71.114.18:4022/rtp/239.93.1.54:5140
CCTV世界地理,http://125.71.114.18:4022/rtp/239.93.1.157:5140
CCTV第一剧场,http://125.71.114.18:4022/rtp/239.93.1.197:5140
CCTV风云剧场,http://125.71.114.18:4022/rtp/239.93.1.156:5140
CCTV世界地理,http://125.71.114.18:4022/rtp/239.93.1.157:5140
CCTV怀旧剧场,http://125.71.114.18:4022/rtp/239.93.1.198:5140
CCTV兵器科技,http://125.71.114.18:4022/rtp/239.93.1.235:5140
CCTV央视文化精品,http://125.71.114.18:4022/rtp/239.93.42.47:5140
CCTV女性时尚,http://125.71.114.18:4022/rtp/239.93.42.62:5140
CGTN,http://125.71.114.18:4022/rtp/239.93.0.104:5140
CGTN西语,http://125.71.114.18:4022/rtp/239.93.42.49:5140
CGTN法语,http://125.71.114.18:4022/rtp/239.93.42.50:5140
CETV早期教育,http://125.71.114.18:4022/rtp/239.93.0.117:5140
CETV1,http://125.71.114.18:4022/rtp/239.93.1.111:5140
CETV2,http://125.71.114.18:4022/rtp/239.93.0.113:5140
CETV3,http://yun.jinsome.com:8686/rtp/239.3.1.55:4120$北京联通
CETV4,http://125.71.114.18:4022/rtp/239.93.0.50:5140
CHC影迷电影,http://125.71.114.18:4022/rtp/239.93.42.5:5140
CHC家庭影院,http://125.71.114.18:4022/rtp/239.93.42.6:5140
CHC动作电影,http://125.71.114.18:4022/rtp/239.93.42.7:5140
凤凰中文,http://tvbox.mohuajz.eu.org/tv/fengshows.php?id=1
凤凰资讯,http://tvbox.mohuajz.eu.org/tv/fengshows.php?id=2
凤凰xg,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8

爱上4K,http://125.71.114.18:4022/rtp/239.93.0.97:5140
湖南电影,http://118.254.201.164:8888/udp/239.76.246.106:1234$湖南电信
湖南电影,http://118.254.201.164:8888/udp/239.76.245.119:1234$湖南电信
凤凰中文,http://125.71.114.18:4022/rtp/239.93.0.162:2192
凤凰中文,http://125.71.114.18:4022/rtp/239.93.1.9:2192
凤凰中文,http://118.254.201.164:8888/udp/239.76.253.135:9000$湖南电信
凤凰中文,http://118.254.201.164:8888/udp/239.76.246.135:1234$湖南电信
凤凰中文,http://118.254.201.164:8888/udp/239.76.246.7:1234$湖南电信
凤凰中文,http://42.92.117.8:8888/udp/239.255.30.50:8231$甘肃电信
凤凰资讯,http://125.71.114.18:4022/rtp/239.93.1.4:2191
凤凰资讯,http://125.71.114.18:4022/rtp/239.93.0.118:2191
凤凰资讯,http://118.254.201.164:8888/udp/239.76.253.134:9000$湖南电信
凤凰资讯,http://118.254.201.164:8888/udp/239.76.246.134:1234$湖南电信
凤凰资讯,http://118.254.201.164:8888/udp/239.76.246.8:1234$湖南电信
凤凰资讯,http://42.92.117.8:8888/udp/239.255.30.70:8231$甘肃电信

凤凰xg,http://42.92.117.8:8888/udp/239.255.30.123:8231$甘肃电信
凤凰电影,http://op.sev7.net:4022/rtp/239.254.201.1:5214$河北电信
星空卫视,http://125.71.114.18:4022/rtp/239.93.1.10:2193
星空卫视,http://125.71.114.18:4022/rtp/239.93.0.156:2193
Channel[V],http://125.71.114.18:4022/rtp/239.93.1.7:2194
Channel[V],http://125.71.114.18:4022/rtp/239.93.0.157:2194
xg卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
欢笑剧场4K,http://125.71.114.18:4022/rtp/239.93.0.145:5140$4K
四川卫视,http://125.71.114.18:4022/rtp/239.93.0.20:1235
四川卫视,http://125.71.114.18:4022/rtp/239.93.1.143:5140
四川经济,http://125.71.114.18:4022/rtp/239.93.1.101:5140
四川文化旅游,http://125.71.114.18:4022/rtp/239.93.1.102:5140
四川新闻,http://125.71.114.18:4022/rtp/239.93.0.47:5140
四川影视文艺,http://125.71.114.18:4022/rtp/239.93.0.166:5140
四川星空购物,http://125.71.114.18:4022/rtp/239.93.1.144:5140
